thermal_source,material_scenario,restraint_pattern,foundation_n_mm3,a,b,signed_a_minus_b_mm,resolution_scale_mm,order
fvm,nominal,hemisphere_60,10000.0,Continuous,8P-FAIR_B,-0.00016702132546500027,0.0011533563130120003,0
fvm,nominal,hemisphere_60,1000000.0,Continuous,8P-FAIR_B,-0.0010894828236591996,0.0011133882680854001,0
fvm,nominal,hemisphere_90,10000.0,Continuous,8P-FAIR_B,-6.931057488810018e-05,0.0011766809276974,0
fvm,nominal,hemisphere_90,1000000.0,Continuous,8P-FAIR_B,-0.001172119439705,0.0011614725306373,-1
fvm,nominal,uniform_full,10000.0,Continuous,8P-FAIR_B,1.805124610083112e-05,0.001062658524471277,0
fvm,nominal,uniform_full,1000000.0,Continuous,8P-FAIR_B,1.3168623215087873e-06,0.0010568926921063167,0
fvm,nominal,uniform_half,10000.0,Continuous,8P-FAIR_B,3.001602816029371e-05,0.001025535205404508,0
fvm,nominal,uniform_half,1000000.0,Continuous,8P-FAIR_B,1.40488052507661e-05,0.0010136565120203288,0
elmer,high_expansion_low_yield,hemisphere_0,10000.0,6P-FAIR_B,8P-FAIR_B,0.000451561715118301,0.0011121484023491014,0
elmer,high_expansion_low_yield,hemisphere_0,1000000.0,6P-FAIR_B,8P-FAIR_B,3.8497765539199924e-05,0.0011738928067031003,0
elmer,high_expansion_low_yield,hemisphere_30,10000.0,6P-FAIR_B,8P-FAIR_B,-0.0006879148152223995,0.0010959552579655014,0
elmer,high_expansion_low_yield,hemisphere_30,1000000.0,6P-FAIR_B,8P-FAIR_B,-0.0001400883145000996,0.0011289679923961,0
elmer,high_expansion_low_yield,hemisphere_60,10000.0,6P-FAIR_B,8P-FAIR_B,5.173217240760086e-05,0.0010140625664187006,0
elmer,high_expansion_low_yield,hemisphere_60,1000000.0,6P-FAIR_B,8P-FAIR_B,1.3751702191200366e-05,0.0010425910922869002,0
elmer,high_expansion_low_yield,hemisphere_90,10000.0,6P-FAIR_B,8P-FAIR_B,-0.0003096786828016007,0.001023046395562101,0
elmer,high_expansion_low_yield,hemisphere_90,1000000.0,6P-FAIR_B,8P-FAIR_B,-0.00013792133823109856,0.0010812645817450993,0
elmer,high_expansion_low_yield,uniform_full,10000.0,6P-FAIR_B,8P-FAIR_B,2.77831228099209e-05,0.001027168831224052,0
elmer,high_expansion_low_yield,uniform_full,1000000.0,6P-FAIR_B,8P-FAIR_B,1.8584909321552643e-05,0.001025086420279114,0
elmer,high_expansion_low_yield,uniform_half,10000.0,6P-FAIR_B,8P-FAIR_B,3.869915623059197e-06,0.0010389056671981742,0
elmer,high_expansion_low_yield,uniform_half,1000000.0,6P-FAIR_B,8P-FAIR_B,3.297864031393988e-06,0.001056003428005189,0
elmer,low_expansion_high_yield,hemisphere_0,10000.0,6P-FAIR_B,8P-FAIR_B,5.815940573599982e-05,0.0011338681631027003,0
elmer,low_expansion_high_yield,hemisphere_0,1000000.0,6P-FAIR_B,8P-FAIR_B,-6.4404582591002894e-06,0.0010859586083821,0
elmer,low_expansion_high_yield,hemisphere_30,10000.0,6P-FAIR_B,8P-FAIR_B,-4.603633426089994e-05,0.0010877596186593002,0
elmer,low_expansion_high_yield,hemisphere_30,1000000.0,6P-FAIR_B,8P-FAIR_B,9.537169068959961e-05,0.0010738734777982996,0
elmer,low_expansion_high_yield,hemisphere_60,10000.0,6P-FAIR_B,8P-FAIR_B,6.507172922110005e-05,0.0011058276847601,0
elmer,low_expansion_high_yield,hemisphere_60,1000000.0,6P-FAIR_B,8P-FAIR_B,7.799407937200036e-05,0.0010758240755336002,0
elmer,low_expansion_high_yield,hemisphere_90,10000.0,6P-FAIR_B,8P-FAIR_B,8.187016997499973e-06,0.0011476409236564002,0
elmer,low_expansion_high_yield,hemisphere_90,1000000.0,6P-FAIR_B,8P-FAIR_B,7.490805424959987e-05,0.0011382695057546,0
elmer,low_expansion_high_yield,uniform_full,10000.0,6P-FAIR_B,8P-FAIR_B,-1.1507793748067968e-05,0.0010455430133860927,0
elmer,low_expansion_high_yield,uniform_full,1000000.0,6P-FAIR_B,8P-FAIR_B,-1.3133339127229965e-05,0.0010559307270182586,0
elmer,low_expansion_high_yield,uniform_half,10000.0,6P-FAIR_B,8P-FAIR_B,-1.6049894338444707e-06,0.0010345246653053822,0
elmer,low_expansion_high_yield,uniform_half,1000000.0,6P-FAIR_B,8P-FAIR_B,4.334908625790879e-06,0.0010403844831574898,0
elmer,nominal,hemisphere_0,10000.0,6P-FAIR_B,8P-FAIR_B,0.00012459085584010012,0.0012548421323253,0
elmer,nominal,hemisphere_0,1000000.0,6P-FAIR_B,8P-FAIR_B,-2.3835688657499778e-05,0.0011840469990176006,0
elmer,nominal,hemisphere_30,10000.0,6P-FAIR_B,8P-FAIR_B,-0.0001585628165671994,0.0011992182912513001,0
elmer,nominal,hemisphere_30,1000000.0,6P-FAIR_B,8P-FAIR_B,0.00013894382263000046,0.001144764929653301,0
elmer,nominal,hemisphere_60,10000.0,6P-FAIR_B,8P-FAIR_B,5.1297291023000464e-05,0.0011914110780974008,0
elmer,nominal,hemisphere_60,1000000.0,6P-FAIR_B,8P-FAIR_B,9.51228670862999e-05,0.0010884456765330001,0
elmer,nominal,hemisphere_90,10000.0,6P-FAIR_B,8P-FAIR_B,-8.405597724580032e-05,0.0012127782096473996,0
elmer,nominal,hemisphere_90,1000000.0,6P-FAIR_B,8P-FAIR_B,7.223351668979999e-05,0.0011776486142290009,0
elmer,nominal,uniform_full,10000.0,6P-FAIR_B,8P-FAIR_B,-1.1133217164619271e-05,0.0010822838671234831,0
elmer,nominal,uniform_full,1000000.0,6P-FAIR_B,8P-FAIR_B,-1.952910385828085e-05,0.001102454333154455,0
elmer,nominal,uniform_half,10000.0,6P-FAIR_B,8P-FAIR_B,-5.3939686532129035e-06,0.001056443883580985,0
elmer,nominal,uniform_half,1000000.0,6P-FAIR_B,8P-FAIR_B,-1.8057176143211636e-07,0.0010615328551453855,0
fvm,high_expansion_low_yield,hemisphere_0,10000.0,6P-FAIR_B,8P-FAIR_B,0.00046030906291420065,0.0011177859701626,0
fvm,high_expansion_low_yield,hemisphere_0,1000000.0,6P-FAIR_B,8P-FAIR_B,4.702351050119881e-05,0.001182609647540499,0
fvm,high_expansion_low_yield,hemisphere_30,10000.0,6P-FAIR_B,8P-FAIR_B,-0.0006855143510174008,0.0010970126810964992,0
fvm,high_expansion_low_yield,hemisphere_30,1000000.0,6P-FAIR_B,8P-FAIR_B,-0.0001376814795618006,0.0011334408565549991,0
fvm,high_expansion_low_yield,hemisphere_60,10000.0,6P-FAIR_B,8P-FAIR_B,5.585808474319921e-05,0.0010534220224078994,0
fvm,high_expansion_low_yield,hemisphere_60,1000000.0,6P-FAIR_B,8P-FAIR_B,1.9652642308101015e-05,0.0010182398074355002,0
fvm,high_expansion_low_yield,hemisphere_90,10000.0,6P-FAIR_B,8P-FAIR_B,-0.0003079167360768003,0.0010526716453133017,0
fvm,high_expansion_low_yield,hemisphere_90,1000000.0,6P-FAIR_B,8P-FAIR_B,-0.00013487231980109995,0.0010582252659409016,0
fvm,high_expansion_low_yield,uniform_full,10000.0,6P-FAIR_B,8P-FAIR_B,2.946946919264187e-05,0.0010257952312342925,0
fvm,high_expansion_low_yield,uniform_full,1000000.0,6P-FAIR_B,8P-FAIR_B,2.10158842313587e-05,0.0010226165658382058,0
fvm,high_expansion_low_yield,uniform_half,10000.0,6P-FAIR_B,8P-FAIR_B,6.7433760847235675e-06,0.001030692062986597,0
fvm,high_expansion_low_yield,uniform_half,1000000.0,6P-FAIR_B,8P-FAIR_B,7.723799492561307e-06,0.0010526414757724256,0
fvm,low_expansion_high_yield,hemisphere_0,10000.0,6P-FAIR_B,8P-FAIR_B,5.914609299190014e-05,0.0011846788055073997,0
fvm,low_expansion_high_yield,hemisphere_0,1000000.0,6P-FAIR_B,8P-FAIR_B,-1.079493178190007e-05,0.0011193892743236,0
fvm,low_expansion_high_yield,hemisphere_30,10000.0,6P-FAIR_B,8P-FAIR_B,-3.9936684247400024e-05,0.0011313395210789,0
fvm,low_expansion_high_yield,hemisphere_30,1000000.0,6P-FAIR_B,8P-FAIR_B,0.0001037309830074001,0.0010864825211197,0
fvm,low_expansion_high_yield,hemisphere_60,10000.0,6P-FAIR_B,8P-FAIR_B,7.450617045849997e-05,0.0011541941516673999,0
fvm,low_expansion_high_yield,hemisphere_60,1000000.0,6P-FAIR_B,8P-FAIR_B,8.651626499449989e-05,0.0011079688005311002,0
fvm,low_expansion_high_yield,hemisphere_90,10000.0,6P-FAIR_B,8P-FAIR_B,1.5084298243000019e-05,0.0011991939048508998,0
fvm,low_expansion_high_yield,hemisphere_90,1000000.0,6P-FAIR_B,8P-FAIR_B,8.392151004829986e-05,0.0011752548846053002,0
fvm,low_expansion_high_yield,uniform_full,10000.0,6P-FAIR_B,8P-FAIR_B,-1.036201657370374e-05,0.0010468683772467515,0
fvm,low_expansion_high_yield,uniform_full,1000000.0,6P-FAIR_B,8P-FAIR_B,-1.357839858398776e-05,0.0010558141857436069,0
fvm,low_expansion_high_yield,uniform_half,10000.0,6P-FAIR_B,8P-FAIR_B,-5.281442989091209e-07,0.0010399051290898354,0
