time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
21.9,q235_far,0.0,1.0,0.0,1,1.0,651.837455945136,663.1590307162314,-11.32157477109547,665.9686279902352,663.159030716231,2.8095972740042043
22.0,weld_center,0.0,-0.5,0.5,3,1.0,1113.460291732544,1245.1863244796118,-131.72603274706785,1175.9332865173762,1245.18632447961,-69.25303796223375
22.0,qt_near_interface,0.0,-0.2,-0.2,2,1.0,909.3702420385592,1037.4054787730445,-128.03523673448524,923.9130098289519,1037.40547877305,-113.49246894409805
22.0,qt_far,0.0,-1.0,-1.0,2,1.0,780.7956031395187,847.1224239169778,-66.32682077745915,777.4044235002708,847.122423916978,-69.71800041670724
22.0,q235_near_interface,0.0,0.2,0.0,1,1.0,788.731876284853,802.400623876748,-13.668747591894999,831.8153589074452,802.400623876748,29.414735030697216
22.0,q235_far,0.0,1.0,0.0,1,1.0,654.5236730197148,665.8019511332267,-11.278278113511874,668.8077570030148,665.801951133227,3.005805869787764
22.0,line_00,0.0,-1.5,-0.5,2,1.0,853.7800831049417,909.420023267356,-55.63994016241429,940.4003623955324,nan,nan
22.0,line_01,0.0,-1.4,-0.4,2,1.0,890.7347497154747,949.1595057684851,-58.42475605301047,986.6136890684049,nan,nan
22.0,line_02,0.0,-1.3,-0.3,2,1.0,913.3651145136213,977.5535018065381,-64.18838729291679,1032.3198920687682,nan,nan
22.0,line_03,0.0,-1.2,-0.2,2,1.0,936.8731093599356,1006.7477654374885,-69.87465607755291,1065.6500968010207,nan,nan
22.0,line_04,0.0,-1.1,-0.1,2,1.0,956.3097792689337,1035.617250434234,-79.30747116530029,1096.3867640631834,nan,nan
22.0,line_05,0.0,-1.0,0.0,3,1.0,1038.4556446179142,1192.5953961896305,-154.13975157171626,1123.4662001542429,nan,nan
22.0,line_06,0.0,-0.9,0.1,3,1.0,1080.7042249889291,1230.2439488539708,-149.53972386504165,1145.6147138867389,nan,nan
22.0,line_07,0.0,-0.8,0.2,3,1.0,1097.5119988537244,1242.9052962931394,-145.39329743941494,1162.1191481727483,nan,nan
22.0,line_08,0.0,-0.7,0.3,3,1.0,1112.0657330990493,1253.2688077012504,-141.203074602201,1172.4160940265353,nan,nan
22.0,line_09,0.0,-0.6,0.4,3,1.0,1114.8993141849105,1251.468505787721,-136.5691916028104,1177.2056356669934,nan,nan
22.0,line_10,0.0,-0.5,0.5,3,1.0,1113.460291732544,1245.1863244796118,-131.72603274706785,1175.933286517377,nan,nan
22.0,line_11,0.0,-0.4,0.6,3,1.0,1109.4781843196497,1236.3472834131585,-126.8690990935088,1168.7467824960288,nan,nan
22.0,line_12,0.0,-0.3,0.7,3,1.0,1097.0757607418643,1218.9142662641534,-121.8385055222891,1156.1078034007617,nan,nan
22.0,line_13,0.0,-0.2,0.8,3,1.0,1079.62865116681,1196.028830149872,-116.400178983062,1138.1296015802352,nan,nan
22.0,line_14,0.0,-0.1,0.9,3,1.0,1054.3203838260326,1167.8023288455597,-113.48194501952707,1114.5987205713402,nan,nan
22.0,line_15,0.0,0.0,1.0,1,1.0,953.694820891423,993.635002006384,-39.94018111496098,1084.9051951633796,nan,nan
22.0,line_16,0.0,0.1,1.1,1,1.0,933.1032622715037,971.0462903383708,-37.9430280668671,1056.7020425801488,nan,nan
22.0,line_17,0.0,0.2,1.2,1,1.0,912.0295958469085,947.3449322301033,-35.31533638319479,1022.1068535860414,nan,nan
22.0,line_18,0.0,0.3,1.3,1,1.0,897.9354100004742,932.6414435875743,-34.70603358710002,980.720621757389,nan,nan
22.0,line_19,0.0,0.4,1.4,1,1.0,869.615041671606,901.068706198003,-31.453664526397006,938.4850673314075,nan,nan
22.0,line_20,0.0,0.5,1.5,1,1.0,843.3418910381091,872.1685991559442,-28.826708117835096,890.6382559833403,nan,nan
22.0,line_21,0.0,0.6,1.6,1,1.0,814.1690550317951,839.9847894861215,-25.81573445432639,840.5662346527901,nan,nan
22.0,line_22,0.0,0.7,1.7,1,1.0,780.5157779852785,803.42353970796,-22.90776172268147,793.416447295945,nan,nan
22.0,line_23,0.0,0.8,1.8,1,1.0,747.4500691421098,767.5487337676534,-20.09866462554362,757.8569613073349,nan,nan
22.0,line_24,0.0,0.9,1.9,1,1.0,716.0879293835242,736.0546468178954,-19.966717434371276,732.4443309747339,nan,nan
22.0,line_25,0.0,1.0,2.0,1,1.0,684.70321439383,703.299722723933,-18.596508330103006,707.924039576673,nan,nan
22.1,weld_center,0.0,-0.5,0.5,3,1.0,1109.3167295812173,1238.5248753785756,-129.20814579735838,1170.486347927703,1238.52487537858,-68.03852745087693
