time_s,probe,s_mm,n_mm,z_mm,material_id,birth_fraction,elmer_common_c,fvm_common_c,delta_common_c,elmer_native_c,fvm_native_c,delta_native_c
23.200000000000003,qt_near_interface,0.0,-0.2,-0.2,2,1.0,773.8959218963921,838.9177076134255,-65.02178571703337,764.6797653308203,838.9177076134257,-74.23794228260545
23.200000000000003,qt_far,0.0,-1.0,-1.0,2,1.0,695.6746571382822,731.1294443898457,-35.454787251563516,689.5167418494566,731.1294443898457,-41.61270254038914
23.200000000000003,q235_near_interface,0.0,0.2,0.0,1,1.0,694.6892025247811,695.7095626153033,-1.0203600905222174,708.3028795748728,695.7095626153027,12.593316959570075
23.200000000000003,q235_far,0.0,1.0,0.0,1,1.0,625.2049849234272,628.2184399002065,-3.0134549767792578,633.0029877528524,628.2184399002059,4.784547852646483
23.3,weld_center,0.0,-0.5,0.5,3,1.0,928.5834300458987,987.1642341026221,-58.58080405672342,939.9727762510906,987.164234102622,-47.19145785153137
23.3,qt_near_interface,0.0,-0.2,-0.2,2,1.0,766.8076807274208,829.4857178990848,-62.67803717166396,756.9220681046509,829.485717899085,-72.56364979443413
23.3,qt_far,0.0,-1.0,-1.0,2,1.0,690.1958730803891,724.4387794293939,-34.242906349004784,683.7476052260117,724.438779429394,-40.691174203382275
23.3,q235_near_interface,0.0,0.2,0.0,1,1.0,690.251559805599,690.8548787591795,-0.6033189535805832,702.8058947255666,690.85487875918,11.951015966386649
23.3,q235_far,0.0,1.0,0.0,1,1.0,622.9221921669281,625.4944877500683,-2.5722955831402032,630.1657770192495,625.494487750068,4.671289269181557
23.400000000000002,weld_center,0.0,-0.5,0.5,3,1.0,915.5324546964434,971.5437608873435,-56.011306190900086,925.087782402756,971.5437608873434,-46.455978484587376
23.400000000000002,qt_near_interface,0.0,-0.2,-0.2,2,1.0,759.4689320100962,819.7898178413759,-60.320885831279725,748.9479462063736,819.7898178413757,-70.84187163500212
23.400000000000002,qt_far,0.0,-1.0,-1.0,2,1.0,684.4827043865778,717.501174705526,-33.018470318948175,677.7379763411246,717.5011747055257,-39.76319836440109
23.400000000000002,q235_near_interface,0.0,0.2,0.0,1,1.0,685.6073872246026,685.8078499773986,-0.20046275279605652,697.1076819877173,685.8078499773987,11.299832010318596
23.400000000000002,q235_far,0.0,1.0,0.0,1,1.0,620.4523950478183,622.5913023246552,-2.1389072768369033,627.1377723114682,622.5913023246549,4.546469986813349
23.5,weld_center,0.0,-0.5,0.5,3,1.0,902.324669358541,955.7960313019038,-53.47136194336281,910.1057466295804,955.796031301904,-45.69028467232363
23.5,qt_near_interface,0.0,-0.2,-0.2,2,1.0,751.9328607716641,809.8923966861804,-57.95953591451632,740.8036365162899,809.892396686181,-69.08876016989109
23.5,qt_far,0.0,-1.0,-1.0,2,1.0,678.5793955759666,710.3661071368192,-31.78671156085261,671.5333461144896,710.366107136819,-38.83276102232935
23.5,q235_near_interface,0.0,0.2,0.0,1,1.0,680.7951855813568,680.6064473799935,0.18873820136332142,691.2465051332689,680.606447379994,10.640057753274846
23.5,q235_far,0.0,1.0,0.0,1,1.0,617.8241591966911,619.5377422249414,-1.7135830282503548,623.9489378931988,619.537742224942,4.411195668256823
23.6,weld_center,0.0,-0.5,0.5,3,1.0,889.0146712254053,939.9829388892026,-50.96826766379729,895.0797011305075,939.982938889203,-44.90323775869547
23.6,qt_near_interface,0.0,-0.2,-0.2,2,1.0,744.2429895569409,799.8457750437802,-55.602785486839366,732.5301035659522,799.845775043781,-67.3156714778288
23.6,qt_far,0.0,-1.0,-1.0,2,1.0,672.5228644910261,703.0759439577649,-30.553079466738836,665.1726267139112,703.075943957765,-37.90331724385385
23.6,q235_near_interface,0.0,0.2,0.0,1,1.0,675.846729094979,675.2828468927195,0.5638822022594923,685.2559738139014,675.28284689272,9.973126921181347
23.6,q235_far,0.0,1.0,0.0,1,1.0,615.0613767117719,616.3585437158587,-1.2971670040867593,620.6251398891063,616.358543715859,4.266596173247308
23.700000000000003,weld_center,0.0,-0.5,0.5,3,1.0,875.649560256625,924.1584831176694,-48.508922861044425,880.0586477136851,924.1584831176684,-44.09983540398332
23.700000000000003,qt_near_interface,0.0,-0.2,-0.2,2,1.0,736.4361107531529,789.6946655134983,-53.25855476034542,724.1637470836974,789.6946655134986,-65.5309184298012
23.700000000000003,qt_far,0.0,-1.0,-1.0,2,1.0,666.3446597043362,695.6672919203,-29.322632215963836,658.6895446602342,695.6672919202998,-36.9777472600656
23.700000000000003,q235_near_interface,0.0,0.2,0.0,1,1.0,670.78903898824,669.8647600505278,0.924278937712188,679.1658032338912,669.8647600505278,9.30104318336339
23.700000000000003,q235_far,0.0,1.0,0.0,1,1.0,612.1844843961924,613.0751317461776,-0.8906473499852154,617.188946205669,613.0751317461769,4.113814459492119
23.8,weld_center,0.0,-0.5,0.5,3,1.0,862.2709417228913,908.370517251339,-46.09957552844776,865.0873907433058,908.370517251339,-43.283126508033206
23.8,qt_near_interface,0.0,-0.2,-0.2,2,1.0,728.5441731332369,779.4780020573899,-50.93382892415298,715.737067692609,779.47800205739,-63.74093436478097
23.8,qt_far,0.0,-1.0,-1.0,2,1.0,660.0723245027206,688.1721751648753,-28.099850662154722,652.1137132504335,688.172175164875,-36.05846191444141
23.8,q235_near_interface,0.0,0.2,0.0,1,1.0,665.6456812776978,664.3764641292158,1.269217148481971,673.0024549968505,664.376464129216,8.625990867634528
23.8,q235_far,0.0,1.0,0.0,1,1.0,609.211345101812,609.7063236835442,-0.4949785817321981,613.6602808359402,609.706323683544,3.9539571523961285
